Reads,Writes,Inject_Delay,Latency_ns,Bandwidth_MB/s
2,1,0,332.64,27551.2
2,1,2,335.23,27513.2
2,1,8,323.2,28012.7
2,1,15,317.24,27925
2,1,50,284.88,28598.2
2,1,100,206.73,28629.8
2,1,200,89.49,21700.5
2,1,300,77.26,15092.4
2,1,400,72.23,11710.7
2,1,500,69.85,9580.5
2,1,700,67.35,7099.6
2,1,1000,65.74,5237.4
2,1,1300,71.16,3913.1
2,1,1700,67.45,3348.9
2,1,2500,63.47,2744.9
2,1,3500,62.8,2285.9
2,1,5000,62.72,1905
2,1,9000,64.23,1475.9
2,1,20000,63.12,1237
3,1,0,314.91,27595.5
3,1,2,303.95,28422.1
3,1,8,298.57,28844.5
3,1,15,297.93,28729
3,1,50,284.09,29011.2
3,1,100,276.54,28344.3
3,1,200,258.85,28819.2
3,1,300,228.78,29351.8
3,1,400,195.71,29282.9
3,1,500,167.14,28837.1
3,1,700,117.99,27288.4
3,1,1000,92.6,19502.5
3,1,1300,83.31,16345.1
3,1,1700,73.99,13965.1
3,1,2500,69.56,9868.8
3,1,3500,66.98,7400.6
3,1,5000,65.86,5519.4
3,1,9000,68.98,3160.3
3,1,20000,64.42,2152.7
1,1,0,366.52,24779.9
1,1,2,371.45,24713
1,1,8,367.68,24845.3
1,1,15,369.87,24779.8
1,1,50,389.85,24594.6
1,1,100,367.78,24276.3
1,1,200,230.54,23796.4
1,1,300,94.6,17765.5
1,1,400,83.61,14146.1
1,1,500,75.2,12402.4
1,1,700,70.99,9077.8
1,1,1000,67.82,6693.8
1,1,1300,66.28,5376.3
1,1,1700,64.42,4413.5
1,1,2500,64.3,3318
1,1,3500,63.11,2685
1,1,5000,64.98,2102.2
1,1,9000,67.41,1558.5
1,1,20000,67.69,1218.7
0,1,0,477.23,30848.3
0,1,2,369.79,31981.5
0,1,8,354.84,32115.3
0,1,15,427.94,28747.4
0,1,50,95.11,25213
0,1,100,78.42,10665.9
0,1,200,72.07,7304.4
0,1,300,69.46,5364
0,1,400,68.63,4271.4
0,1,500,66.44,3706.1
0,1,700,66.62,2881.5
0,1,1000,65.8,2333.7
0,1,1300,64.16,2079
0,1,1700,63.7,1842.3
0,1,2500,65.13,1535.4
0,1,3500,65.17,1366.4
0,1,5000,65.13,1259.1
0,1,9000,72.19,1018.6
0,1,20000,65.04,1054.2
