threads,Inject_Delay,Latency_ns,Bandwidth_MB/s
1,0,191.72,33288.4
1,2,184.35,34794.3
1,8,192.47,33844.7
1,15,171.52,35152.4
1,50,143.09,34822.2
1,100,105.11,32332.9
1,200,80.67,24346.2
1,300,72.67,17737.4
1,400,69.46,14161.2
1,500,67.85,11609.4
1,700,66.08,8808.4
1,1000,64.79,6579.5
1,1300,64.32,5326.3
1,1700,64.05,4343.7
1,2500,63.38,3290.3
1,3500,63.54,2654.5
1,5000,64.8,2128.1
1,9000,63.32,1650.5
1,20000,63.64,1289.2
4,0,189.22,33566.8
4,2,180.37,35703.4
4,8,179.39,35713.1
4,15,172.62,35143.8
4,50,144.33,34172.5
4,100,106.43,31700.8
4,200,84.96,22618.1
4,300,73.61,17686.2
4,400,73.63,13029.3
4,500,67.99,11613.2
4,700,70.77,7782.5
4,1000,65.85,6402.3
4,1300,64.76,5277.3
4,1700,64.11,4327.8
4,2500,64.04,3262.5
4,3500,63.78,2633.2
4,5000,63.85,2145.6
4,9000,63.38,1650.2
4,20000,63.76,1295.1
16,0,179.44,35586.1
16,2,182.86,34595.8
16,8,180.14,35492
16,15,170.46,35638.5
16,50,143.27,34493.2
16,100,108.05,30919.5
16,200,80.44,24422.8
16,300,75.71,16767.5
16,400,70.03,13968.8
16,500,67.82,11691.9
16,700,67.1,8510
16,1000,67.21,6218.5
16,1300,64.63,5284.8
16,1700,63.94,4323.4
16,2500,65.84,3133.8
16,3500,64.63,2591.1
16,5000,64.16,2128.5
16,9000,64.81,1604.2
16,20000,65.73,1248.3
