size_MiB,Inject_Delay,latency_ns,Bandwidth_MB/s
2,0,289.89,118145.8
2,2,251.97,145542.2
2,8,254.89,133850.4
2,15,254.51,102324.7
2,50,253.79,59924
2,100,262.89,42733.5
2,200,11.63,32283.1
2,300,11.38,23815.4
2,400,11.34,19381.6
2,500,11.33,16748.3
2,700,12.11,12659.5
2,1000,13.54,9280.9
2,1300,11.66,9554.8
2,1700,11.07,9096.6
2,2500,11.14,7978.6
2,3500,11.13,7351.1
2,5000,11,6954.9
2,9000,10.96,6470.9
2,20000,10.92,6144.7
0.016,0,1.11,682553.4
0.016,2,1.18,671480.6
0.016,8,1.24,573781.8
0.016,15,1.11,374274.8
0.016,50,1.12,150504.6
0.016,100,0.99,116844.4
0.016,200,0.99,91826.1
0.016,300,0.99,83291
0.016,400,0.98,79596.5
0.016,500,1.02,73527
0.016,700,0.98,73576.3
0.016,1000,0.98,70726.2
0.016,1300,0.98,69753.7
0.016,1700,0.98,68457.6
0.016,2500,1.05,62920.9
0.016,3500,1.09,60276.9
0.016,5000,0.98,66462.8
0.016,9000,0.97,66410
0.016,20000,0.97,66118.9
16,0,410.96,24033.4
16,2,394.6,24287.6
16,8,376.82,24268.7
16,15,377.37,24002.1
16,50,383.33,24590.3
16,100,375.87,24570.5
16,200,286.71,24784.4
16,300,80.82,19110.3
16,400,70.1,14707.6
16,500,64.34,12170.4
16,700,57.38,9119.5
16,1000,54.15,6789.5
16,1300,51.59,5583.4
16,1700,47.78,4693.3
16,2500,48.07,3599.5
16,3500,46.63,3000.6
16,5000,63.76,2069.1
16,9000,48.25,1938.2
16,20000,56.9,1384.4
64,0,412.81,23827.1
64,2,413.52,23925.1
64,8,409.99,23863.7
64,15,392.59,24065.3
64,50,403.37,23865.7
64,100,375.25,24157.8
64,200,277.25,24188.2
64,300,89.22,18937.2
64,400,81.94,14543.3
64,500,77.02,11947.3
64,700,72.92,8741.8
64,1000,69.17,6506.1
64,1300,67.58,5262.5
64,1700,71.42,3927.6
64,2500,65.19,3236.7
64,3500,65.17,2569.8
64,5000,63.54,2144.1
64,9000,63.79,1635.2
64,20000,63.04,1301.9
128,0,420.59,23859.1
128,2,410.3,23888.9
128,8,404.16,23970
128,15,381.75,24094.3
128,50,383.98,24118.9
128,100,377.65,24147.9
128,200,303.22,24262.4
128,300,89.21,19090.5
128,400,86.14,13894.3
128,500,84.93,10615.8
128,700,75.41,8453.3
128,1000,73.01,6203.7
128,1300,77.22,4525
128,1700,73.76,3828
128,2500,70.56,2983.5
128,3500,69.18,2428
128,5000,69.43,1965.4
128,9000,68.47,1523
128,20000,70.86,1157.4
0.25,0,12.81,477215.6
0.25,2,12.73,451843.1
0.25,8,13.69,408629.1
0.25,15,11.15,327674.7
0.25,50,7.53,116213
0.25,100,5.42,62876.8
0.25,200,4.64,40964.1
0.25,300,4.37,33108
0.25,400,4.29,28895.7
0.25,500,4.29,25976.7
0.25,700,4.2,23155.9
0.25,1000,4.14,21010.8
0.25,1300,4.06,20105.5
0.25,1700,4.55,17054.3
0.25,2500,4.04,18105
0.25,3500,3.98,17687.6
0.25,5000,4,17117.2
0.25,9000,3.99,16662.8
0.25,20000,3.95,16482.2
